OBJECTID,MinReg_ID,Site_ID,Ftr_ID,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
77,Mr00064,CO00042,Mf00362,"Mammoth, Mammoth mine",<Null>,7/31/2020,Mine Feature,Mine Shaft,tungsten (1),39.9443,-105.4857,Location of the Mammoth Mine from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
78,Mr00064,CO00042,Mo00384,"Mammoth, Mammoth deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),39.9443,-105.4857,Same location as the Mammoth mine (Mf00362),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
79,Mr00064,CO00043,Mf00364,"Eureka, Eureka mine",Upper Eureka (1); Tip Top Mine (1),8/3/2020,Mine Feature,Adit,tungsten (1),40.0019,-105.4135,Location of the Eureka Mine from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
80,Mr00064,CO00043,Mo00385,"Eureka, Eureka deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),40.0019,-105.4135,Same location as the Eureka mine (Mf00364),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
81,Mr00064,CO00044,Mf00420,"Lone Tree, Lone Tree mine",<Null>,8/3/2020,Mine Feature,Mine Shaft,tungsten,39.9822,-105.5036,Approximate location of Lone Tree shaft on the map,<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
82,Mr00064,CO00044,Mo00494,"Lone Tree, Lone Tree deposit",Lone Tree ore shoot,2/4/2020,Mineral Occurrence,Deposit,tungsten,39.9822,-105.5036,Same location as the Lone Tree mine (Mf00420),<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
83,Mr00064,CO00045,Mf00353,"Luckie No. 2, Luckie No. 2 mine",Luckie 2; Lookout Mines,8/3/2020,Mine Feature,Underground Workings,tungsten,40.0043,-105.4076,Approximate location of Luckie 2 on the map,<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 1,Lovering and Tweto (1953),<Null>,No
84,Mr00064,CO00045,Mo00424,"Luckie No. 2, Luckie No. 2 deposit",<Null>,2/4/2020,Mineral Occurrence,Deposit,tungsten,40.0043,-105.4076,Same location as the Luckie No. 2 mine (Mf00353),<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 1,Lovering and Tweto (1953),<Null>,No
85,Mr00064,CO00046,Mf00366,"Clyde, Clyde mine",Level 3 (1); Clyde (1),7/31/2020,Mine Feature,Mine Shaft,tungsten (1),39.9797,-105.4988,Location of the Clyde Shaft from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
86,Mr00064,CO00046,Mo00426,"Clyde, Clyde deposit",Footwall vein (1),7/31/2020,Mineral Occurrence,Deposit,tungsten (1),39.9797,-105.4988,Same location as the Clyde mine (Mf00366),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
87,Mr00064,CO00047,Mf00367,"April Fool-Good Friday, April Fool mine",Good Friday Mine,7/31/2020,Mine Feature,Mine Shaft,tungsten (1),40.0069,-105.4022,Location of the Good Friday Mine from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
88,Mr00064,CO00047,Mo00428,"April Fool-Good Friday, April Fool deposit",Good Friday vein (1); Pleasant Dream-Good Friday vein (1); Lookout (1),7/31/2020,Mineral Occurrence,Deposit,tungsten (1),40.0069,-105.4022,Same location as the April Fool mine (Mf00367),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
89,Mr00064,CO00049,Mf00345,"Rogers, Rogers No. 1 mine",Rogers Mine No 1,7/31/2020,Mine Feature,Adit,tungsten (1),39.997,-105.4373,Location of the Rogers Mine No 1 from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
90,Mr00064,CO00049,Mo00690,"Rogers, Rogers No. 1 deposit",Rogers 1 vein (1); Rogers 11 vein (1),7/31/2020,Mineral Occurrence,Deposit,tungsten (1),39.997,-105.4373,Same location as the Rogers No. 1 mine (Mf00345),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
91,Mr00150,ID00001,Mf00331,"Yellow Pine, Hangar Flats mine",<Null>,2/5/2020,Mine Feature,Open Pit Mine,antimony; gold; silver; tungsten,44.8981,-115.3384,Approximate center of the Hangar Flats Open Pit on map ,<Null>,ID,Valley,"Large (>1:24,000)",2019,"Page 1-16, Figure 1.6",Becker and others (2019),<Null>,No
92,Mr00150,ID00001,Mf00332,"Yellow Pine, West End mine",<Null>,2/5/2020,Mine Feature,Open Pit Mine,gold; silver,44.9318,-115.3188,Approximate center of the West End Open Pit on map ,<Null>,ID,Valley,"Large (>1:24,000)",2019,"Page 1-16, Figure 1.6",Becker and others (2019),<Null>,No
93,Mr00150,ID00001,Mf00562,"Yellow Pine, Yellow Pine mine",Homestake pit,2/5/2020,Mine Feature,Open Pit Mine,antimony; gold; silver; tungsten,44.9284,-115.3354,Approximate center of the Yellow Pine Open Pit on map ,<Null>,ID,Valley,"Large (>1:24,000)",2019,"Page 1-16, Figure 1.6",Becker and others (2019),<Null>,No
94,Mr00150,ID00001,Mo00269,"Yellow Pine, Historic tailings",<Null>,8/2/2020,Mineral Occurrence,Deposit,antimony; gold; silver,44.892,-115.3475,Approximate center of the polygon,Approximate extent of historic tailings area from map,ID,Valley,"Large (>1:24,000)",2019,"Page 10-2, Figure 10.1",Becker and others (2019),<Null>,Yes
95,Mr00150,ID00001,Mo00299,"Yellow Pine, Hangar Flats deposit",<Null>,8/7/2020,Mineral Occurrence,Deposit,antimony; gold; silver; tungsten,44.9028,-115.3381,Approximate center of the polygon,Approximate extent of Hangar Flats mineralization greater than or equal to 0.3 gpt Au resource area from map,ID,Valley,"Large (>1:24,000)",2019,"Page 10-2, Figure 10.1",Becker and others (2019),<Null>,Yes
96,Mr00150,ID00001,Mo00304,"Yellow Pine, West End deposit",<Null>,2/5/2020,Mineral Occurrence,Deposit,antimony; gold; silver,44.9284,-115.3222,Approximate center of the polygon,Approximate extent of West End mineralization greater than or equal to 0.3 gpt Au resource area from map,ID,Valley,"Large (>1:24,000)",2019,"Page 10-2, Figure 10.1",Becker and others (2019),<Null>,Yes
97,Mr00150,ID00001,Mo00765,"Yellow Pine, Yellow Pine deposit",<Null>,8/7/2020,Mineral Occurrence,Deposit,antimony; gold; silver; tungsten,44.9301,-115.3336,Approximate center of the polygon,Approximate extent of Yellow Pine mineralization greater than or equal to 0.3 gpt Au resource area from map,ID,Valley,"Large (>1:24,000)",2019,"Page 10-2, Figure 10.1",Becker and others (2019),<Null>,Yes
98,Mr00150,ID00002,Mr00150,Yellow Pine Mining District,Stibnite Mining District,8/3/2020,Mineral Region,Mining District,antimony; gold; rare-earth elements (2); silver (1); tungsten,44.872,-115.3742,Approximate center of the polygon,Approximate extent of the mining district from the map,ID,Valley,"Small (<1:250,000)",1987,Map 6,Gustafson (1987),(1) Becker and others (2019); (2) Cater and others (1973),Yes
99,Mr00065,ID00003,Mf00243,"Thompson Creek, Thompson Creek mine",<Null>,7/30/2020,Mine Feature,Open Pit Mine,molybdenum (1),44.3171,-114.5541,Approximate center of pit on imagery,<Null>,ID,Custer,<Null>,2020,World Imagery,Esri (2020a),(1) Thompson Creek Metals Co. Inc. (2010–2016),No
100,Mr00065,ID00003,Mf00576,"Thompson Creek, Tungsten Jim mine",Scheelite Jim,7/31/2020,Mine Feature,Adit,tungsten (1),44.3339,-114.5861,Location of the Mine from imported GIS file in combination of text description (1),<Null>,ID,Custer,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Marek and Lechner (2011); Additional details on location available in the Desc_Sum table,No
101,Mr00065,ID00003,Mo00266,"Thompson Creek, Thompson Creek deposit",<Null>,8/2/2020,Mineral Occurrence,Deposit,molybdenum; rhenium,44.3192,-114.5567,Approximate center of the polygon,Approximate extent of the +0.030% to +0.090% Mo grade on the map,ID,Custer,"Large (>1:24,000)",2011,Figure 9-1,Marek and Lechner (2011),<Null>,Yes
102,Mr00065,ID00003,Mo00403,"Thompson Creek, Tungsten Jim deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),44.3339,-114.5861,Same location as the Tungsten Jim mine (Mf00576),<Null>,ID,Custer,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Marek and Lechner (2011),No
103,Mr00153,ID00004,Mr00153,Blue Wing Mining District,<Null>,4/21/2020,Mineral Region,Mining District,copper (1); gold (1); lead (1); silver (1); tungsten; zinc (1),44.5447,-113.6775,Approximate center of the polygon,Approximate extent of the mining district from the map,ID,Lemhi,"Small (<1:250,000)",1987,Map 6,Gustafson (1987),(1) Mitchell (1999),Yes
104,Mr00065,ID00022,Mr00065,Bayhorse Mining District,<Null>,4/21/2020,Mineral Region,Mining District,molybdenum (1); rhenium (1); tungsten (2),44.384,-114.3828,Approximate center of the polygon,Approximate extent of the mining district from the map,ID,Custer,"Small (<1:250,000)",1987,Map 6,Gustafson (1987),(1) John and others (2017); (2) McHugh and others (1991),Yes
105,Mr00171,ID00033,Mr00171,Grimes Pass Mining District,<Null>,8/2/2020,Mineral Region,Mining District,"copper (1), molybdenum (1); rhenium (1); silver; sulfur (1); tungsten (2)",44.0246,-115.728,Approximate center of the polygon,Approximate extent of the mining district from the map,ID,Boise,"Small (<1:250,000)",1987,Map 6,Gustafson (1987),(1) Arseneau and others (2019); (2) Giroux and others (2015),Yes
106,Mr00171,ID00047,Mo00509,"CuMo, CuMo deposit",<Null>,8/2/2020,Mineral Occurrence,Deposit,copper; molybdenum; rhenium; silver; sulfur; tungsten (1),44.0339,-115.783,Approximate center of the polygon,Approximate extent of dashed line indicating the Amax resource extent,ID,Boise,"Large (>1:24,000)",2015,"Page 47, Figure 7-7",Arseneau and others (2019),(1) Giroux and others (2015),Yes
107,Mr00153,ID00049,Mf00563,"Ima, Ima mine",<Null>,7/31/2020,Mine Feature,Adit,copper (1); gold (1); lead (1); silver (1); tungsten (1); zinc (1),44.5329,-113.6927,Location of the Ima Mine from imported GIS file,<Null>,ID,Lemhi,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Mitchell (1999),No
108,Mr00153,ID00049,Mo00764,"Ima, Ima deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,copper (1); lead (1); silver (1); tungsten (1); zinc (1),44.5329,-113.6927,Same location as the Ima mine (Mf00563),<Null>,ID,Lemhi,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Mitchell (1999),No
109,Mr00151,MT00015,Mr00151,Lost Creek Mining District,Browns Lake; Rock Creek,6/10/2020,Mineral Region,Mining District,copper (1); gold (1); silver (1); tungsten (1),45.5242,-112.7877,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,MT,Beaverhead,<Null>,1994,Montana mining districts shapefile,Montana State Library (1994),Imported data from Montana State Library; (1) Messenger (2016),Yes
110,Mr00152,MT00016,Mr00152,Wise River Mining District,<Null>,6/10/2020,Mineral Region,Mining District,tungsten (1),45.8293,-113.2176,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,MT,Beaverhead; Deer Lodge ,<Null>,1994,Montana mining districts shapefile,Montana State Library (1994),Imported data from Montana State Library; (1) Walker (1963),Yes
111,Mr00151,MT00027,Mf00567,"Brown's Lake, Brown's Lake mine",Ivanhoe Mine,8/3/2020,Mine Feature,Open Pit Mine,copper; gold (1); silver (1); tungsten,45.5209,-112.8383,Approximate location of Brown's Lake mine (mine symbol #3) from map,<Null>,MT,Beaverhead,"Medium (1:24,000-1:250,000)",1960,Figure 1,Pattee (1960),(1) Geach (1972),No
112,Mr00151,MT00027,Mo00718,"Brown's Lake, Brown's Lake deposit",Lentung,6/24/2020,Mineral Occurrence,Deposit,tungsten,45.5209,-112.8383,Same location as the Brown's Lake mine (Mf00567),<Null>,MT,Beaverhead,"Medium (1:24,000-1:250,000)",1960,Figure 1,Pattee (1960),<Null>,No
113,Mr00152,MT00028,Mf00568,"Calvert, Calvert mine",Red Button Mine,8/3/2020,Mine Feature,Open Pit Mine,tungsten,45.8481,-113.1522,Approximate location of Calvert Mine on the map,<Null>,MT,Beaverhead,"Large (>1:24,000)",2016,Figure 2,Messenger (2016),<Null>,No
114,Mr00152,MT00028,Mo00763,"Calvert, Calvert deposit",<Null>,6/10/2020,Mineral Occurrence,Deposit,tungsten,45.8481,-113.1522,Same location as the Calvert mine (Mf00568),<Null>,MT,Beaverhead,"Large (>1:24,000)",2016,Figure 2,Messenger (2016),<Null>,No
115,Mr00134,NC00008,Mr00134,Hamme District,Hamme (Tungsten Queen) District,8/3/2020,Mineral Region,Mining District,tungsten (1),36.4541,-78.5939,Approximate center of the polygon,Approximate extent of Hamme District on map,NC; VA,Granville; Halifax; Mecklenburg; Person; Vance ,"Small (<1:250,000)",1963,Figure 1,Parker (1963),(1) Chaumba and others (2015),Yes
116,Mr00134,NC00009,Mf00564,"Tungsten Queen, Tungsten Queen mine",Hamme Mine,8/3/2020,Mine Feature,Underground Workings,tungsten (1),36.5052,-78.4722,Approximate location of Hamme Mine on the map,<Null>,NC,Vance,"Medium (1:24,000-1:250,000)",1977,Plate 1,Gair (1977),(1) Chaumba and others (2015),No
117,Mr00134,NC00009,Mo00703,"Tungsten Queen, Tungsten Queen tailings",Hamme; Sneed-Walker,2/5/2020,Mineral Occurrence,Deposit,tungsten,36.5104,-78.4712,Approximate center of the polygon,Approximate extent of Hamme (Tungsten Queen) deposit from map,NC,Vance,"Medium (1:24,000-1:250,000)",2015,"Page 35, Figure 2",Chaumba and others (2015),<Null>,Yes
118,Mr00133,NM00036,Mf00561,"Cunningham Hill, Cunningham Hill mine",Ortiz Mine,8/3/2020,Mine Feature,Open Pit Mine,gold,35.3383,-106.1359,Approximate location of Cunningham Hill mine on the map,<Null>,NM,Santa Fe,"Medium (1:24,000-1:250,000)",2014,Plate 1,Maynard (2014),<Null>,No
119,Mr00133,NM00036,Mo00701,"Cunningham Hill, Cunningham Hill deposit",Ortiz [deposit],8/3/2020,Mineral Occurrence,Deposit,gold; tungsten,35.3383,-106.1359,Same location as the Cunningham Hill mine (Mf00561),<Null>,NM,Santa Fe,"Medium (1:24,000-1:250,000)",2014,Plate 1,Maynard (2014),<Null>,No
120,Mr00132,NM00037,Mo00702,"Victorio, Victorio deposit",<Null>,8/2/2020,Mineral Occurrence,Deposit,beryllium (1); molybdenum; tungsten,32.1866,-108.1068,Approximate center of the polygon,$25 Grade Shell Outline Using $15 per lb Mo and $8 per pound WO3,NM,Luna,"Large (>1:24,000)",2012,Figure 10-1,Knudsen and Hahn (2012),(1) McLemore (2010),Yes
121,Mr00132,NM00038,Mr00132,Victorio District,Gage; Mine Hill,7/25/2020,Mineral Region,Mining District,beryllium; copper; gold; lead; molybdenum; silver; tungsten; zinc,32.1823,-108.0972,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,NM,Luna,<Null>,2017,Metals_districts shapefile,McLemore (2017),Imported data from New Mexico Bureau of Geology and Mineral Resources,Yes
122,Mr00133,NM00039,Mr00133,Old Placers District,Ortiz; Dolores,6/18/2020,Mineral Region,Mining District,gold; tungsten,35.3335,-106.1556,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,NM,Santa Fe,<Null>,2017,Metals_districts shapefile,McLemore (2017),Imported data from New Mexico Bureau of Geology and Mineral Resources,Yes
123,Mr00078,NV00107,Mf00466,"Golconda, Golconda mine",<Null>,8/3/2020,Mine Feature,Open Pit Mine,iron (1); manganese (1); silica (1); tungsten (1),40.9433,-117.429,Location of the Golconda Mine from imported GIS file,<Null>,NV,Humboldt,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
124,Mr00078,NV00107,Mo00347,"Golconda, Golconda deposit",<Null>,8/3/2020,Mineral Occurrence,Deposit,iron (1); manganese (1); silica (1); tungsten (1),40.9433,-117.429,Same location as the Golconda mine (Mf00466),<Null>,NV,Humboldt,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
125,Mr00120,NV00108,Mr00120,Lodi Mining District,Mammoth,5/1/2020,Mineral Region,Mining District,tungsten,39.007,-117.9114,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Nye,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
126,Mr00120,NV00109,Mf00286,"Victory, Victory mine",Gabbs Tungsten Mine,8/3/2020,Mine Feature,Adit,tungsten (1),38.9753,-117.9155,Location of the Victory Mine from imported GIS file,<Null>,NV,Nye,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
127,Mr00120,NV00109,Mo00361,"Victory, Victory deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),38.9753,-117.9155,Same location as the Victory mine (Mf00286),<Null>,NV,Nye,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
128,Mr00121,NV00110,Mf00467,"Silver Dyke, Silver Dyke mine",Examiner (1),8/3/2020,Mine Feature,Mine Shaft,tungsten (1),38.3169,-118.1971,Location of the Silver Dyke Mine from imported GIS file,<Null>,NV,Mineral,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
129,Mr00121,NV00110,Mo00526,"Silver Dyke, Silver Dyke deposit",Goodale ore shoot (1); Noble ore shoot (1); ; Silver Dyke vein (1); Silver Dyke vein system (1); Tungsten Dyke (1); Wagner-Beane ore shoot (1),8/3/2020,Mineral Occurrence,Deposit,tungsten (1),38.3169,-118.1971,Same location as the Silver Dyke mine (Mf00467),<Null>,NV,Mineral,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
130,Mr00121,NV00111,Mr00121,Silver Star Mining District,Gold Range,5/1/2020,Mineral Region,Mining District,tungsten,38.3329,-118.1952,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Mineral,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
131,Mr00122,NV00112,Mf00468,"Pilot Mountain, Desert Scheelite mine",<Null>,7/31/2020,Mine Feature,Mine Shaft,tungsten,38.3792,-117.8708,Location of the Desert Scheelite Mine from imported GIS file,<Null>,NV,Mineral,<Null>,2020,24k Points file,Horton and San Juan (2020),Stager and Tingley (1988) state that the mine features were shafts and open pit,No
132,Mr00122,NV00112,Mf00469,"Pilot Mountain, Garnet mine",Victory Tungsten Company (1),7/20/2020,Mine Feature,Open Pit Mine,tungsten,38.3933,-117.8872,Approximate location of Garnet location from the map,<Null>,NV,Mineral,"Large (>1:24,000)",2020,Tier 2 Target map,Thor Mining Plc (2020),(1) Stager and Tingley (1988),No
133,Mr00122,NV00112,Mf00470,"Pilot Mountain, Gunmetal mine",Linday (1); Summerfield (1); Silver Tungsten King (1),8/2/2020,Mine Feature,Open Pit Mine,tungsten (1),38.3864,-117.8905,Location of the Gunmetal Mine from imported GIS file,<Null>,NV,Mineral,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
134,Mr00122,NV00112,Mo00531,"Pilot Mountain, Desert Scheelite deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,copper (1); silver (1); tungsten (1); zinc (1),38.3792,-117.8708,Same location as the Desert Scheelite mine (Mf00468),<Null>,NV,Mineral,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Thor Mining Plc (2018a),No
135,Mr00122,NV00112,Mo00562,"Pilot Mountain, Garnet deposit",<Null>,7/20/2020,Mineral Occurrence,Deposit,tungsten,38.3933,-117.8872,Same location as the Garnet mine (Mf00469),<Null>,NV,Mineral,"Large (>1:24,000)",2020,Tier 2 Target map,Thor Mining Plc (2020),<Null>,No
136,Mr00122,NV00112,Mo00563,"Pilot Mountain, Gunmetal deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),38.3864,-117.8905,Same location as the Gunmetal mine (Mf00470),<Null>,NV,Mineral,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
137,Mr00122,NV00113,Mr00122,Pilot Mountains Mining District,Gold Range,5/1/2020,Mineral Region,Mining District,copper; silver; tungsten; zinc,38.3769,-117.9708,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Mineral,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
138,Mr00124,NV00114,Mf00267,"Mt. Hamilton, Seligman mine",<Null>,7/30/2020,Mine Feature,Open Pit Mine,gold; silver,39.2549,-115.5563,"Approximate center of Seligman pit from map, adjusted with imagery (1)",<Null>,NV,White Pine,"Large (>1:24,000)",2014,"Page 85, Figure 12.11.1",Pennington and others (2014),(1) Esri (2020a),No
139,Mr00124,NV00114,Mf00472,"Mt. Hamilton, Monte Cristo mine",<Null>,7/21/2020,Mine Feature,Open Pit Mine,tungsten,39.2453,-115.5515,Coordinates provided from the reference document,<Null>,NV,White Pine,<Null>,1988,Page 234,Stager and Tingley (1988),<Null>,No
140,Mr00124,NV00114,Mo00564,"Mt. Hamilton, Mt. Hamilton deposit",Centennial deposit; Seligman deposit,2/5/2020,Mineral Occurrence,Deposit,copper; gold; molybdenum; silver; tungsten,39.251,-115.5554,Approximate center of the polygon,Approximate extent of the orange boundary indicating the ultimate resource limit from the map,NV,White Pine,"Large (>1:24,000)",2014,"Page 85, Figure 12.11.1",Pennington and others (2014),<Null>,Yes
141,Mr00123,NV00115,Mf00471,"Indian Springs, Indian Springs mine",Gamble Ranch; Ludwig Tunnel,7/10/2020,Mine Feature,Underground Workings,tungsten (1),41.6255,-114.2448,Same location as the Indian Springs deposit (Mo00548),<Null>,NV,Elko,"Large (>1:24,000)",2007,"Page 3-7, Figure 3-3",Moran and Stryhas (2007),(1) Stager and Tingley (1988),No
142,Mr00123,NV00115,Mo00548,"Indian Springs, Indian Springs deposit",<Null>,7/10/2020,Mineral Occurrence,Deposit,tungsten,41.6255,-114.2448,Approximate center of the polygon,Approximate extent of the red dashed Indian Springs Tungsten deposit identified on the map,NV,Elko,"Large (>1:24,000)",2007,"Page 3-7, Figure 3-3",Moran and Stryhas (2007),<Null>,Yes
143,Mr00124,NV00116,Mr00124,White Pine Mining District,<Null>,5/1/2020,Mineral Region,Mining District,copper; gold; molybdenum; silver; tungsten,39.2146,-115.5721,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,White Pine,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
144,Mr00123,NV00117,Mr00123,Delano Mining District,<Null>,5/1/2020,Mineral Region,Mining District,tungsten,41.6498,-114.3349,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Elko,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
145,Mr00115,NV00119,Mr00115,Tem Piute Mining District,<Null>,5/1/2020,Mineral Region,Mining District,tungsten,37.6242,-115.6351,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Lincoln,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
146,Mr00115,NV00120,Mf00421,"Emerson, Emerson mine",Lincoln; Moody Shaft; Tempiute,8/3/2020,Mine Feature,Mine Shaft,tungsten (1),37.6413,-115.6311,Location of Lincoln Mine from imported GIS file,<Null>,NV,Lincoln,<Null>,2020,625k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
147,Mr00115,NV00120,Mo00457,"Emerson, Emerson deposit",Grubstake ore zone; Moody ore zone,8/3/2020,Mineral Occurrence,Deposit,tungsten (1),37.6413,-115.6311,Same location as the Emerson mine (Mf00421),<Null>,NV,Lincoln,<Null>,2020,625k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
148,Mr00035,NV00123,Mr00035,Potosi Mining District,<Null>,5/1/2020,Mineral Region,Mining District,tungsten,41.1467,-117.3071,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Humboldt,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
149,Mr00035,NV00124,Mf00422,"Riley, Riley mine",Dernan Property (1),8/3/2020,Mine Feature,Mine Shaft,tungsten (1),41.1891,-117.2507,Location of the Riley Mine from imported GIS file,<Null>,NV,Humboldt,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
150,Mr00035,NV00124,Mf00446,"Riley, Riley Extension mine",<Null>,7/30/2020,Mine Feature,Open Pit Mine,tungsten (1),41.1944,-117.2562,Approximate location of Riley Extension Mine on the map,<Null>,NV,Humboldt,"Medium (1:24,000-1:250,000)",1955,Plate 1,Hotz and Willden (1964),(1) Stager and Tingley (1988),No
151,Mr00035,NV00124,Mo00458,"Riley, Riley deposit",East vein (1); West vein (1),7/31/2020,Mineral Occurrence,Deposit,tungsten (1),41.1891,-117.2507,Same location as the Riley mine (Mf00422),<Null>,NV,Humboldt,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stager and Tingley (1988),No
152,Mr00035,NV00124,Mo00553,"Riley, Riley Extension deposit",<Null>,7/30/2020,Mineral Occurrence,Deposit,tungsten (1),41.1944,-117.2562,Same location as the Riley Extension mine (Mf00446),<Null>,NV,Humboldt,"Medium (1:24,000-1:250,000)",1955,Plate 1,Hotz and Willden (1964),(1) Stager and Tingley (1988),No
153,Mr00079,NV00126,Mr00079,Mill City Mining District,Central,5/1/2020,Mineral Region,Mining District,tungsten,40.8152,-118.1675,Approximate center of the polygon,Approximate extent of the mining district from the map,NV,Humboldt; Pershing ,"Small (<1:250,000)",1998,Plate 1,Tingley (1998),<Null>,Yes
154,Mr00079,NV00129,Mf00483,"Springer, Springer mine",Humboldt North Pit; Humboldt-Springer; George Pit; Springer Pit; Stank; Sutton I; Sutton I North Pit; Sutton I South Pit; Sutton II; Sutton II Pit; Uncle Sam Pit,8/3/2020,Mine Feature,Mine Shaft,tungsten (1),40.7822,-118.1328,Location of the Nevada Massachusetts-Tungsten Mine from imported GIS file,<Null>,NV,Pershing,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) McCandlish and Odell (2013),No
155,Mr00079,NV00129,Mo00415,"Springer, Sutton deposit",Sutton I [deposit] (1); Sutton II [deposit] (1),7/31/2020,Mineral Occurrence,Deposit,tungsten (1),40.7781,-118.1343,Same location as the Springer mine (Mf00483),<Null>,NV,Pershing,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Stryhas (2009),No
156,Mr00079,NV00129,Mo00416,"Springer, George deposit",<Null>,7/21/2020,Mineral Occurrence,Deposit,tungsten,40.7809,-118.1442,"Approximate center of the George Pit from the map, adjusted to center of the pit using imagery (1)",<Null>,NV,Pershing,"Large (>1:24,000)",2009,Figure 2-3,Stryhas (2009),(1) Esri (2020a),No
157,Mr00079,NV00129,Mo00417,"Springer, O'Byrne deposit",<Null>,7/21/2020,Mineral Occurrence,Deposit,tungsten,40.7776,-118.146,"Approximate location of the O'Byrne shaft from the map, adjusted using imagery (1)",<Null>,NV,Pershing,"Large (>1:24,000)",2009,Figure 2-3,Stryhas (2009),(1) Esri (2020a),No
