"OBJECTID","Site_ID","Ftr_ID","Ftr_Name","Other_Name","Last_Updt","Ftr_Group","Ftr_Type","Commodity","Lat_WGS84","Long_WGS84","Pt_Def","Poly_Def","State","County","Loc_Scale","Loc_Date","Ref_Detail","Ref_ID","Remarks","Loc_Poly"
93,"NV00125","Mf00365","Emma Mine",NA,"2017-10-23","Mine Feature","Open Pit Mine","copper",39.256627,-115.009567,"Center of mine outline",NA,"NV","White Pine","Medium (1:24,000-1:250,000)","1966","Figure 1","Bauer and others (1966)",NA,"No"
94,"NV00125","Mo00356","Kimbley",NA,"2017-08-30","Mineral Occurrence","Deposit","copper; tellurium; rhenium",39.260273,-114.957891,"Approximate center of polygon","Copper deposit","NV","White Pine","Medium (1:24,000-1:250,000)","2009","Figure 9.1","Hardy and others (2009)",NA,"Yes"
95,"NV00125","Mo00357","Ruth",NA,"2017-08-30","Mineral Occurrence","Deposit","copper; molybdenum",39.25806,-114.971239,"Approximate center of polygon","Copper deposit","NV","White Pine","Medium (1:24,000-1:250,000)","2009","Figure 9.1","Hardy and others (2009)",NA,"Yes"
96,"NV00125","Mo00358","Liberty",NA,"2017-08-30","Mineral Occurrence","Deposit","copper",39.257132,-114.998793,"Approximate center of polygon","Copper deposit","NV","White Pine","Medium (1:24,000-1:250,000)","2009","Figure 9.1","Hardy and others (2009)",NA,"Yes"
97,"NV00125","Mo00359","Tripp","Morris-Brooks","2017-08-30","Mineral Occurrence","Deposit","copper",39.259488,-115.021922,"Approximate center of polygon","Copper deposit","NV","White Pine","Medium (1:24,000-1:250,000)","2009","Figure 9.1","Hardy and others (2009)",NA,"Yes"
98,"NV00125","Mo00360","Veteran",NA,"2017-08-30","Mineral Occurrence","Deposit","copper; gold",39.2632,-115.030916,"Approximate center of polygon","Copper deposit","NV","White Pine","Medium (1:24,000-1:250,000)","2009","Figure 9.1","Hardy and others (2009)",NA,"Yes"
99,"NV00125","Mo00445","Emma","Tonopah","2017-10-23","Mineral Occurrence","Deposit","copper",39.256627,-115.009567,"Center of mine outline",NA,"NV","White Pine","Medium (1:24,000-1:250,000)","1966","Figure 1","Bauer and others (1966)",NA,"No"
100,"NV00125","Mo00447","Alpha",NA,"2017-10-23","Mineral Occurrence","Deposit","copper",39.251641,-115.026616,"Mine location from plate",NA,"NV","White Pine","Small (<1:250,000)","1970","Plate 2","Hose and others (1976)",NA,"No"
101,"NV00125","Mo00448","Richard",NA,"2017-10-23","Mineral Occurrence","Deposit","copper",39.250617,-115.017101,"Mine location from plate",NA,"NV","White Pine","Small (<1:250,000)","1970","Plate 2","Hose and others (1976)",NA,"No"
102,"NV00125","Mo00449","Taylor",NA,"2017-10-23","Mineral Occurrence","Deposit","copper; tungsten",39.264186,-115.032866,"Location from map",NA,"NV","White Pine","Small (<1:250,000)","1988","Page 205","Stager and Tingley (1988)",NA,"No"
103,"NV00125","Mo00450","Wedge",NA,"2017-10-23","Mineral Occurrence","Deposit","copper; gold",39.263851,-114.954711,"Gold resource",NA,"NV","White Pine","Small (<1:250,000)","2006","Map 149, Inset A","Davis and others (2006)",NA,"No"
104,"NV00130","Mr00063","Robinson District","Ely District; Ruth District","2017-08-29","Mineral Region","Mining District","copper; gold; molybdenum; silver; lead; zinc; manganese; rhenium; palladium; platinum",39.270283,-114.953194,"Approximate center of polygon","Metallic district","NV","White Pine","Small (<1:250,000)","1998","Plate 1","Tingley (1998)",NA,"Yes"
105,"SD00011","Mf00256","Runge Mine","Buda-Dexter; Runge East","2017-08-02","Mine Feature","Open Pit Mine","uranium; vanadium",43.38337,-103.81593,"Latitude and Longitude given in database",NA,"SD","Fall River","Large (>1:24,000)","1995",NA,"Wilson and DeWitt (1995)","Same location as Runge deposit","No"
106,"SD00011","Mo00317","Runge",NA,"2017-08-02","Mineral Occurrence","Deposit","uranium; vanadium; rhenium; molybdenum",43.38337,-103.81593,"Latitude and Longitude given in database",NA,"SD","Fall River","Large (>1:24,000)","1995",NA,"Wilson and DeWitt (1995)","Same location as Runge Mine","No"
107,"UT00011","Mf00235","Bingham Canyon Mine","Kennecott Copper Mine","2017-06-15","Mine Feature","Open Pit Mine","rhenium; copper; molybdenum; gold; silver; sulfuric acid",40.529973,-112.136459,"Center of pit on imagery",NA,"UT","Salt Lake","Large (>1:24,000)","2015","World Imagery","Esri World Imagery (2018)",NA,"No"
108,"UT00011","Mf00274","Carr Fork Mine",NA,"2017-08-25","Mine Feature","Underground Workings","copper; gold; silver",40.521488,-112.174282,"Location from description in Cameron and Garmoe 1987",NA,"UT","Salt Lake","Large (>1:24,000)","1987","Page 1319","Cameron and Garmoe (1987)",NA,"No"
109,"UT00011","Mo00284","Bingham",NA,"2017-08-25","Mineral Occurrence","Deposit","copper; molybdenum; gold; silver; lead; zinc; sulfuric acid; rhenium; platinum-group elements; selenium; tellurium; arsenic; uranium; indium; titanium",40.523456,-112.155703,"Approximate center of polygon",">0.15% Cu","UT","Salt Lake","Large (>1:24,000)","1997","Figure 1","Harrison and Reid (1997)",NA,"Yes"
110,"UT00011","Mo00352","Carr Fork",NA,"2017-08-24","Mineral Occurrence","Deposit","copper; gold; molybdenum; silver; lead; zinc",40.523467,-112.164173,"Approximate center of polygon",">1% Cu Skarn (projected)","UT","Salt Lake","Large (>1:24,000)","1997","Figure 1","Harrison and Reid (1997)",NA,"Yes"
111,"UT00011","Mo00353","North Ore Shoot",NA,"2017-08-24","Mineral Occurrence","Deposit","copper; gold; molybdenum; silver; lead; zinc",40.532646,-112.156821,"Approximate center of polygon",">1% Cu Skarn (projected)","UT","Salt Lake","Large (>1:24,000)","1997","Figure 1","Harrison and Reid (1997)",NA,"Yes"
112,"UT00011","Mo00354","Fortuna",NA,"2017-08-24","Mineral Occurrence","Prospect","copper",40.530879,-112.147797,"Approximate center of polygon",">1% Cu Skarn (projected)","UT","Salt Lake","Large (>1:24,000)","1997","Figure 1","Harrison and Reid (1997)",NA,"Yes"
113,"UT00017","Mr00077","Bingham District",NA,"2017-09-07","Mineral Region","Mining District","copper; molybdenum; gold; silver; lead; zinc; sulfuric acid; rhenium; platinum-group elements; selenium; tellurium; arsenic; uranium; indium; titanium",40.536199,-112.139772,"Approximate center of polygon","Mineral district from database","UT","Salt Lake; Tooele; Utah",NA,"2012",NA,"UGS Utah Mining Districts (2012)",NA,"Yes"
114,"WA00005","Mo00261","Mount Tolman",NA,"2017-06-30","Mineral Occurrence","Deposit","rhenium; molybdenum; copper",48.055901,-118.698874,"Approximate center of polygon","Mount Tolman Cu-Mo deposit","WA","Ferry","Medium (1:24,000-1:250,000)","1995","Figure 3","Lasmanis and Utterback (1995)",NA,"Yes"
